post_id,prediction
1,positive
2,negative
3,neutral
4,negative
5,negative
6,neutral
7,positive
8,negative
9,neutral
10,positive
11,negative
12,neutral
13,positive
14,negative
15,neutral
16,positive
17,negative
18,neutral
19,positive
20,negative
21,neutral
22,positive
23,positive
24,positive
25,positive
26,negative
27,neutral
28,positive
29,negative
30,neutral
31,positive
32,positive
33,neutral
34,positive
35,negative
36,neutral
37,positive
38,negative
39,neutral
40,positive
41,negative
42,neutral
43,positive
44,negative
45,neutral
46,positive
47,negative
48,neutral
49,positive
50,negative
51,neutral
52,positive
53,negative
54,neutral
55,positive
56,negative
57,neutral
58,positive
59,negative
60,neutral
61,negative
62,neutral
63,neutral
64,positive
65,negative
66,positive
67,neutral
68,negative
69,positive
70,neutral
71,positive
72,negative
73,neutral
74,positive
75,negative
76,neutral
77,positive
78,negative
79,neutral
80,positive
